id/bioguide,id/govtrack,id/icpsr_prez,name/first,name/last,bio/birthday,bio/gender,terms/0/type,terms/0/start,terms/0/end,terms/0/party,terms/0/how,terms/1/type,terms/1/start,terms/1/end,terms/1/party,terms/1/how,terms/2/type,terms/2/start,terms/2/end,terms/2/party,terms/2/how,id/icpsr,name/suffix,name/middle,terms/3/type,terms/3/start,terms/3/end,terms/3/party,terms/3/how,id/thomas,name/nickname,id/lis,id/opensecrets,id/votesmart,id/fec/0,bio/religion,id/wikipedia,id/house_history,id/wikidata,id/google_entity_id
W000178,411351,99869,George,Washington,1732-02-22,M,prez,1789-04-30,1793-03-04,no party,election,prez,1793-03-04,1797-03-04,no party,election,,,,,,,,,,,,,,,,,,,,,,,,
A000039,400699,99870,John,Adams,1735-10-19,M,viceprez,1789-04-21,1793-03-04,Federalist,election,viceprez,1793-03-04,1797-03-04,Federalist,election,prez,1797-03-04,1801-03-04,Federalist,election,,,,,,,,,,,,,,,,,,,
J000069,405974,99871,Thomas,Jefferson,1743-04-13,M,viceprez,1797-03-04,1801-03-04,Democratic-Republican,election,prez,1801-03-04,1805-03-04,Democratic-Republican,election,prez,1805-03-04,1809-03-04,Democratic-Republican,election,,,,,,,,,,,,,,,,,,,
B001133,402077,,Aaron,Burr,1756-02-06,M,viceprez,1801-03-04,1805-03-04,Democratic-Republican,election,,,,,,,,,,,1302,Jr.,,,,,,,,,,,,,,,,,
C000527,412587,,George,Clinton,1739-07-26,M,viceprez,1805-03-04,1809-03-04,Democratic-Republican,election,viceprez,1809-03-04,1812-04-20,Democratic-Republican,election,,,,,,,,,,,,,,,,,,,,,,,,
G000139,404507,,Elbridge,Gerry,1744-07-17,M,viceprez,1813-03-04,1814-11-23,Democratic-Republican,election,,,,,,,,,,,3541,,,,,,,,,,,,,,,,,,
M000043,407071,99872,James,Madison,1751-03-16,M,prez,1809-03-04,1813-03-04,Democratic-Republican,election,prez,1813-03-04,1817-03-04,Democratic-Republican,election,,,,,,5903,,,,,,,,,,,,,,,,,,
T000306,412588,,Daniel,Tompkins,1774-06-21,M,viceprez,1817-03-04,1821-03-05,Democratic-Republican,election,viceprez,1821-03-05,1825-03-04,Democratic-Republican,election,,,,,,,,D.,,,,,,,,,,,,,,,,
M000858,407829,99873,James,Monroe,1758-04-28,M,prez,1817-03-04,1821-03-05,Democratic-Republican,election,prez,1821-03-05,1825-03-04,Democratic-Republican,election,,,,,,6594,,,,,,,,,,,,,,,,,,
A000041,400702,99874,John,Adams,1767-07-11,M,prez,1825-03-04,1829-03-04,Democratic-Republican,election,,,,,,,,,,,34,,Quincy,,,,,,,,,,,,,,,,
C000044,402205,,John,Calhoun,1782-03-18,M,viceprez,1825-03-04,1829-03-04,Democratic-Republican,election,viceprez,1829-03-04,1832-12-28,Democratic,election,,,,,,1418,,Caldwell,,,,,,,,,,,,,,,,
J000005,405913,99875,Andrew,Jackson,1767-03-15,M,prez,1829-03-04,1833-03-04,Democratic,election,prez,1833-03-04,1837-03-04,Democratic,election,,,,,,4843,,,,,,,,,,,,,,,,,,
J000170,406067,,Richard,Johnson,1780-10-17,M,viceprez,1837-03-04,1841-03-04,Democratic,election,,,,,,,,,,,4988,,Mentor,,,,,,,,,,,,,,,,
V000009,411074,99876,Martin,Van Buren,1782-12-05,M,viceprez,1833-03-04,1837-03-04,Democratic,election,prez,1837-03-04,1841-03-04,Democratic,election,,,,,,9595,,,,,,,,,,,,,,,,,,
H000279,405153,99877,William,Harrison,1773-02-09,M,prez,1841-03-04,1841-04-04,Whig,election,,,,,,,,,,,4138,,Henry,,,,,,,,,,,,,,,,
T000450,411018,99878,John,Tyler,1790-03-29,M,viceprez,1841-03-04,1841-04-04,Whig,election,prez,1841-04-04,1845-03-04,Whig,succession,,,,,,9542,,,,,,,,,,,,,,,,,,
D000011,403154,,George,Dallas,1792-07-10,M,viceprez,1845-03-04,1849-03-04,Democratic,election,,,,,,,,,,,2305,,Mifflin,,,,,,,,,,,,,,,,
P000409,408802,99879,James,Polk,1795-11-02,M,prez,1845-03-04,1849-03-04,Democratic,election,,,,,,,,,,,7507,,Knox,,,,,,,,,,,,,,,,
,412344,99880,Zachary,Taylor,1784-11-24,M,prez,1849-03-04,1850-07-09,Whig,election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000115,404072,99881,Millard,Fillmore,1800-01-07,M,viceprez,1849-03-04,1850-07-09,Whig,election,prez,1850-07-09,1853-03-04,Whig,succession,,,,,,3140,,,,,,,,,,,,,,,,,,
K000217,406377,,William,King,1786-04-07,M,viceprez,1853-03-04,1853-04-18,Democratic,election,,,,,,,,,,,5275,,Rufus de Vane,,,,,,,,,,,,,,,,
P000333,408730,99882,Franklin,Pierce,1804-11-23,M,prez,1853-03-04,1857-03-04,Democratic,election,,,,,,,,,,,7435,,,,,,,,,,,,,,,,,,
B000789,401746,99883,John,Breckinridge,1821-01-16,M,viceprez,1857-03-04,1861-03-04,Democratic,election,,,,,,,,,,,995,,Cabell,,,,,,,,,,,,,,,,
B001005,401954,99883,James,Buchanan,1791-04-23,M,prez,1857-03-04,1861-03-04,Democratic,election,,,,,,,,,,,1186,,,,,,,,,,,,,,,,,,
H000121,405003,,Hannibal,Hamlin,1809-08-27,M,viceprez,1861-03-04,1865-03-04,Republican,election,,,,,,,,,,,4001,,,,,,,,,,,,,,,,,,
L000313,406807,99884,Abraham,Lincoln,1809-02-12,M,prez,1861-03-04,1865-03-04,Republican,election,prez,1865-03-04,1865-04-15,Republican,election,,,,,,5666,,,,,,,,,,,,,,,,,,
J000116,406017,99885,Andrew,Johnson,1808-12-29,M,viceprez,1865-03-04,1865-04-15,Democratic,election,prez,1865-04-15,1869-03-04,Democratic,succession,,,,,,4940,,,,,,,,,,,,,,,,,,
C000626,402755,,Schuyler,Colfax,1823-03-23,M,viceprez,1869-03-04,1873-03-04,Republican,election,,,,,,,,,,,1938,,,,,,,,,,,,,,,,,,
W000585,411739,,Henry,Wilson,1812-02-16,M,viceprez,1873-03-04,1875-11-22,Republican,election,,,,,,,,,,,10225,,,,,,,,,,,,,,,,,,
,412350,99886,Ulysses,Grant,1822-04-27,M,prez,1869-03-04,1873-03-04,Republican,election,prez,1873-03-04,1877-03-04,Republican,election,,,,,,,,Simpson,,,,,,,,,,,,,,,,
W000341,411503,,William,Wheeler,1819-06-30,M,viceprez,1877-03-04,1881-03-04,Republican,election,,,,,,,,,,,9995,,Almon,,,,,,,,,,,,,,,,
H000393,405261,99887,Rutherford,Hayes,1822-10-04,M,prez,1877-03-04,1881-03-04,Republican,election,,,,,,,,,,,4232,,Birchard,,,,,,,,,,,,,,,,
G000063,404436,99888,James,Garfield,1831-11-19,M,prez,1881-03-04,1881-09-19,Republican,election,,,,,,,,,,,3473,,Abram,,,,,,,,,,,,,,,,
A000303,400945,99889,Chester,Arthur,1829-10-05,M,viceprez,1881-03-04,1881-09-19,Republican,election,prez,1881-09-19,1885-03-04,Republican,succession,,,,,,,,Alan,,,,,,,,,,,,,,,,
H000493,405356,,Thomas,Hendricks,1819-09-07,M,viceprez,1885-03-04,1885-11-25,Democratic,election,,,,,,,,,,,4319,,Andrews,,,,,,,,,,,,,,,,
M001018,407985,,Levi,Morton,1824-05-16,M,viceprez,1889-03-04,1893-03-04,Republican,election,,,,,,,,,,,6742,,Parsons,,,,,,,,,,,,,,,,
H000263,405139,99891,Benjamin,Harrison,1833-08-20,M,prez,1889-03-04,1893-03-04,Republican,election,,,,,,,,,,,4124,,,,,,,,,,,,,,,,,,
S000889,410350,,Adlai,Stevenson,1835-10-23,M,viceprez,1893-03-04,1897-03-04,Democratic,election,,,,,,,,,,,8918,,Ewing,,,,,,,,,,,,,,,,
,412354,99890,Grover,Cleveland,1837-03-18,M,prez,1885-03-04,1889-03-04,Democratic,election,prez,1893-03-04,1897-03-04,Democratic,election,,,,,,,,,,,,,,,,,,,,,,,,
H000660,412589,,Garret,Hobart,1844-06-03,M,viceprez,1897-03-04,1899-11-21,Republican,election,,,,,,,,,,,,,Augustus,,,,,,,,,,,,,,,,
M000522,407515,99892,William,McKinley,1843-01-29,M,prez,1897-03-04,3/4/1901,Republican,election,prez,3/4/1901,9/14/1901,Republican,election,,,,,,6312,Jr.,,,,,,,,,,,,,,,,,
F000003,403965,,Charles,Fairbanks,1852-05-11,M,viceprez,3/4/1905,3/4/1909,Republican,election,,,,,,,,,,,3046,,Warren,,,,,,,,,,,,,,,,
R000429,409394,99893,Theodore,Roosevelt,1858-10-27,M,viceprez,3/4/1901,9/14/1901,Republican,election,prez,9/14/1901,3/4/1905,Republican,succession,prez,3/4/1905,3/4/1909,Republican,election,,,,,,,,,,,,,,,,,,,
S000345,409841,,James,Sherman,1855-10-24,M,viceprez,3/4/1909,10/30/1912,Republican,election,,,,,,,,,,,8453,,Schoolcraft,,,,,,,,,,,,,,,,
,412359,99894,William,Taft,1857-09-15,M,prez,3/4/1909,3/4/1913,Republican,election,,,,,,,,,,,,,Howard,,,,,,,,,,,,,,,,
M000164,412590,,Thomas,Marshall,1854-03-14,M,viceprez,3/4/1913,3/4/1917,Democratic,election,viceprez,3/4/1917,3/4/1921,Democratic,election,,,,,,,,Riley,,,,,,,,,,,,,,,,
,412360,99895,Woodrow,Wilson,1856-12-28,M,prez,3/4/1913,3/4/1917,Democratic,election,prez,3/4/1917,3/4/1921,Democratic,election,,,,,,,,,,,,,,,,,,,,,,,,
H000192,405073,99896,Warren,Harding,1865-11-02,M,prez,3/4/1921,8/2/1923,Republican,election,,,,,,,,,,,4059,,Gamaliel,,,,,,,,,,,,,,,,
D000147,412591,,Charles,Dawes,1865-08-27,M,viceprez,3/4/1925,3/4/1929,Republican,election,,,,,,,,,,,,,Gates,,,,,,,,,,,,,,,,
C000738,402859,99897,Calvin,Coolidge,1872-07-04,M,viceprez,3/4/1921,8/2/1923,Republican,election,prez,8/2/1923,3/4/1925,Republican,succession,prez,3/4/1925,3/4/1929,Republican,election,,,,,,,,,,,,,,,,,,,
C001008,403115,,Charles,Curtis,1860-01-25,M,viceprez,3/4/1929,3/4/1933,Republican,election,,,,,,,,,,,2269,,,,,,,,,,,,,,,,,,
,412363,99898,Herbert,Hoover,,M,prez,3/4/1929,3/4/1933,Republican,election,,,,,,,,,,,,,Clark,,,,,,,,,,,,,,,,
G000074,404446,,John,Garner,1868-11-22,M,viceprez,3/4/1933,1/20/1937,Democratic,election,viceprez,1/20/1937,1/20/1941,Democratic,election,,,,,,3482,,Nance,,,,,,,,,,,,,,,,
W000077,412592,,Henry,Wallace,1888-10-07,M,viceprez,1/20/1941,1/20/1945,Democratic,election,,,,,,,,,,,,,Agard,,,,,,,,,,,,,,,,
,412364,99899,Franklin,Roosevelt,1882-01-30,M,prez,3/4/1933,1/20/1937,Democratic,election,prez,1/20/1937,1/20/1941,Democratic,election,prez,1/20/1941,1/20/1945,Democratic,election,,,Delano,prez,1/20/1945,4/12/1945,Democratic,election,,,,,,,,,,,
B000145,401146,,Alben,Barkley,1877-11-24,M,viceprez,1/20/1949,1/20/1953,Democratic,election,,,,,,,,,,,437,,William,,,,,,,,,,,,,,,,
T000387,410956,99900,Harry,Truman,1884-05-08,M,viceprez,1/20/1945,4/12/1945,Democratic,election,prez,4/12/1945,1/20/1949,Democratic,succession,prez,1/20/1949,1/20/1953,Democratic,election,9487,,S.,,,,,,,,,,,,,,,,
,412366,99901,Dwight,Eisenhower,,M,prez,1/20/1953,1/20/1957,Republican,election,prez,1/20/1957,1/20/1961,Republican,election,,,,,,,,David,,,,,,,,,,,,,,,,
K000107,406274,99902,John,Kennedy,5/29/1917,M,prez,1/20/1961,11/22/1963,Democratic,election,,,,,,,,,,,5180,,Fitzgerald,,,,,,,,,,,,,,,,
H000953,405797,,Hubert,Humphrey,5/27/1911,M,viceprez,1/20/1965,1/20/1969,Democratic,election,,,,,,,,,,,4728,Jr.,Horatio,,,,,,1366,,,,,,,,,,
J000160,406058,99903,Lyndon,Johnson,8/27/1908,M,viceprez,1/20/1961,11/22/1963,Democratic,election,prez,11/22/1963,1/20/1965,Democratic,succession,prez,1/20/1965,1/20/1969,Democratic,election,4979,,Baines,,,,,,,,,,,,,,,,
A000059,412593,,Spiro,Agnew,11/9/1918,M,viceprez,1/20/1969,1/20/1973,Republican,election,viceprez,1/20/1973,10/10/1973,Republican,election,,,,,,,,Theodore,,,,,,,,,,,,,,,,
N000116,408200,99904,Richard,Nixon,1/9/1913,M,viceprez,1/20/1953,1/20/1957,Republican,election,viceprez,1/20/1957,1/20/1961,Republican,election,prez,1/20/1969,1/20/1973,Republican,election,6939,,Milhous,prez,1/20/1973,8/9/1974,Republican,election,,,,,,,,,,,
F000260,404212,99905,Gerald,Ford,7/14/1913,,viceprez,12/6/1973,8/9/1974,Republican,appointment,prez,8/9/1974,1/20/1977,Republican,succession,,,,,,3268,Jr.,Rudolph,,,,,,399,,,,,,,,,,
R000363,412594,,Nelson,Rockefeller,7/8/1908,,viceprez,12/19/1974,1/20/1977,Republican,appointment,,,,,,,,,,,,,Aldrich,,,,,,,,,,,,,,,,
M000851,407824,,Walter,Mondale,1/5/1928,M,viceprez,1/20/1977,1/20/1981,Democratic,election,,,,,,,,,,,10813,,Frederick,,,,,,1402,,,,,,,,,,
,412371,99906,James,Carter,10/1/1924,M,prez,1/20/1977,1/20/1981,Democratic,election,,,,,,,,,,,,,Earl,,,,,,,Jimmy,,,,,,,,,
,412372,99907,Ronald,Reagan,2/6/1911,M,prez,1/20/1981,1/20/1985,Republican,election,prez,1/20/1985,1/20/1989,Republican,election,,,,,,,,Wilson,,,,,,,,,,,,,,,,
Q000007,408970,,James,Quayle,2/4/1947,M,viceprez,1/20/1989,1/20/1993,Republican,election,,,,,,,,,,,14447,,Danforth,,,,,,935,Dan,,,,,,,,,
B001166,402108,99908,George,Bush,6/12/1924,M,viceprez,1/20/1981,1/20/1985,Republican,election,viceprez,1/20/1985,1/20/1989,Republican,election,prez,1/20/1989,1/20/1993,Republican,election,11008,,Herbert Walker,,,,,,,,,,,,,,,,
G000321,404679,,Albert,Gore,3/31/1948,M,viceprez,1/20/1993,1/20/1997,Democrat,election,viceprez,1/20/1997,1/20/2001,Democrat,election,,,,,,14423,Jr.,Arnold,,,,,,449,Al,S170,,,,,,,,
,412374,99909,William,Clinton,8/19/1946,M,prez,1/20/1993,1/20/1997,Democrat,election,prez,1/20/1997,1/20/2001,Democrat,election,,,,,,,,Jefferson,,,,,,,Bill,,,,,,,,,
C000344,402484,,Richard,Cheney,1/30/1941,M,viceprez,1/20/2001,1/20/2005,Republican,election,viceprez,1/20/2005,1/20/2009,Republican,election,,,,,,14611,,Bruce,,,,,,193,Dick,,,,,,,,,
,412375,,George,Bush,7/6/1946,M,prez,1/20/2001,1/20/2005,Republican,election,prez,1/20/2005,1/20/2009,Republican,election,,,,,,,,Walker,,,,,,,,,,,,,,,,
B000444,300008,,Joseph,Biden,11/20/1942,M,viceprez,1/20/2009,1/20/2013,Democrat,election,viceprez,1/20/2013,1/20/2017,Democrat,election,,,,,,14101,Jr.,Robinette,,,,,,1284,Joe,S010,N00001669,53279,S8DE00012,Roman Catholic,,,,
O000167,400629,,Barack,Obama,8/4/1961,M,prez,1/20/2009,1/20/2013,Democrat,election,prez,1/20/2013,1/20/2017,Democrat,election,,,,,,,,Hussein,,,,,,1763,,S298,N00009638,9490,,,,,,
P000587,400315,,Mike,Pence,6/7/1959,M,viceprez,1/20/2017,1/20/2021,Republican,election,,,,,,,,,,,20117,,,,,,,,1649,,,N00003765,34024,H8IN02060,,Mike Pence,20013,Q24313,kg:/m/022r9r
,412733,,Donald,Trump,6/14/1946,M,prez,1/20/2017,1/20/2021,Republican,election,,,,,,,,,,,,,J.,,,,,,,,,N00023864,15723,P80001571,,Donald Trump,,,
